"Medication Category","Medication Name (Example Brand)","Active Ingredient(s)","Classification","Japanese Equivalent / Availability","Common Brands to Check (for Prohibited Ingredients)","Quantity Threshold (Without Permit)","Reason for Classification","Action Required","Documentation Needed (for Permit)","Est. Permit Processing Time","Official Source / Notes","threshold_numeric","processing_days_min","processing_days_max","item_id"
"Prescription: Cardiovascular","Lisinopril (Zestril)","Lisinopril","🟡 Yellow","Prescription only.","N/A","More than 1-month supply","Exceeds the standard allowance for a general prescription drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",30,14,28,"lisinopril_above"
"Prescription: Cardiovascular","Norvasc (Amlodipine)","Amlodipine","🟢 Green","Prescription only.","N/A","Up to 1-month supply","Standard prescription medication. Amlodipine is not listed as a controlled substance, so it falls under the general personal use exemption.","Check 'No' on customs form. Keep in original container with Rx copy.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",30,0,0,"amlodipine_below"
"Prescription: Cardiovascular","Norvasc (Amlodipine)","Amlodipine","🟡 Yellow","Prescription only.","N/A","More than 1-month supply","Exceeds the standard allowance for a general prescription drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",30,14,28,"amlodipine_above"
"Digestive Health","Imodium (Loperamide)","Loperamide","🟢 Green","Available OTC (e.g., Lopera Mac).","N/A","Up to 2-month supply","Standard Over-The-Counter (OTC) medication with no controlled substances.","Check 'No' on customs form. Keep in original container.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,0,0,"loperamide_below"
"Digestive Health","Imodium (Loperamide)","Loperamide","🟡 Yellow","Available OTC (e.g., Lopera Mac).","N/A","More than 2-month supply","Exceeds the standard allowance for a general OTC drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,14,28,"loperamide_above"
"Digestive Health","Pepcid AC (Famotidine)","Famotidine","🟢 Green","Available OTC (e.g., Gaster 10).","N/A","Up to 2-month supply","Standard Over-The-Counter (OTC) medication with no controlled substances.","Check 'No' on customs form. Keep in original container.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,0,0,"famotidine_below"
"Digestive Health","Pepcid AC (Famotidine)","Famotidine","🟡 Yellow","Available OTC (e.g., Gaster 10).","N/A","More than 2-month supply","Exceeds the standard allowance for a general OTC drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,14,28,"famotidine_above"
"Digestive Health","Prilosec (Omeprazole, Zegerid)","Omeprazole","🟢 Green","Prescription only.","N/A","Up to 2-month supply","Standard Over-The-Counter (OTC) medication with no controlled substances.","Check 'No' on customs form. Keep in original container.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,0,0,"omeprazole_below"
"Digestive Health","Prilosec (Omeprazole, Zegerid)","Omeprazole","🟡 Yellow","Prescription only.","N/A","More than 2-month supply","Exceeds the standard allowance for a general OTC drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,14,28,"omeprazole_above"
"Allergy","Claritin (Loratadine, Alavert)","Loratadine","🟢 Green","Available OTC (e.g., Claritin EX).","N/A","Up to 2-month supply","Standard Over-The-Counter (OTC) medication with no controlled substances.","Check 'No' on customs form. Keep in original container.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,0,0,"loratadine_below"
"Allergy","Claritin (Loratadine, Alavert)","Loratadine","🟡 Yellow","Available OTC (e.g., Claritin EX).","N/A","More than 2-month supply","Exceeds the standard allowance for a general OTC drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,14,28,"loratadine_above"
"Allergy","Zyrtec (Cetirizine)","Cetirizine","🟢 Green","Available OTC (e.g., Contac Z, Stona Rhini).","N/A","Up to 2-month supply","Standard Over-The-Counter (OTC) medication with no controlled substances.","Check 'No' on customs form. Keep in original container.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,0,0,"cetirizine_below"
"Allergy","Zyrtec (Cetirizine)","Cetirizine","🟡 Yellow","Available OTC (e.g., Contac Z, Stona Rhini).","N/A","More than 2-month supply","Exceeds the standard allowance for a general OTC drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",60,14,28,"cetirizine_above"
